id_institucion,nombre,sigla,categoria,ciudad,descripcion_breve,nota,visible_en_home,visible_en_instituciones,logo_url,web_url,notas
archivo-general-de-la-nacion,Archivo General de la Nación,AGN,Custodio activo,Bogotá,,Depositario de la copia digital del fondo de Turín y colecciones propias de la Comisión.,si,si,,,
banco-de-la-republica,Banco de la República,BANREP,Custodio activo,Bogotá,,"Biblioteca Luis Ángel Arango — fondos bibliográficos, cartográficos y documentales.",si,si,,,
biblioteca-nacional-de-colombia,Biblioteca Nacional de Colombia,BNC,Custodio activo,Bogotá,,"Colección de mapas, publicaciones y materiales impresos vinculados a la Comisión.",si,si,,,
biblioteca-nacional-universitaria-de-turin,Biblioteca Nacional Universitaria de Turín,BNUTo,Custodio activo,"Turín, Italia",,Custodia el fondo original de mapas manuscritos de Codazzi recientemente digitalizado.,si,si,,,
instituto-geografico-agustin-codazzi,Instituto Geográfico Agustín Codazzi,IGAC,Custodio activo,Bogotá,,Repositorio de cartografía histórica y entidad que lleva el nombre del comisionado.,si,si,,,
museo-nacional-de-colombia,Museo Nacional de Colombia,MNC,Custodio activo,Bogotá,,"Colecciones de pintura, acuarela y objetos vinculados a la Comisión.",si,si,,,
sociedad-colombiana-de-ingenieros,Sociedad Colombiana de Ingenieros,SCI,Custodio activo,Bogotá,,Archivo institucional con documentación vinculada a la historia de la ingeniería y la cartografía.,si,si,,,
sociedad-geografica-de-colombia,Sociedad Geográfica de Colombia,SOGEOCOL,Custodio activo,Bogotá,,Fondos de cartografía e historia de la geografía; activa en el proyecto desde el eje de investigación.,si,si,,,
sociedad-de-mejoras-y-ornato-de-bogota,Sociedad de Mejoras y Ornato de Bogotá,SMOB,Custodio activo,Bogotá,,Documentación histórica sobre la ciudad y el territorio en el período corográfico.,si,si,,,
universidad-nacional-de-colombia,Universidad Nacional de Colombia,UN,Custodio activo,Bogotá,,"Incluye el Archivo Central e Histórico y el Instituto de Ciencias Naturales.",si,si,,,
fundacion-neogranadina,Fundación Neogranadina,FN,Aliada / colaboradora,,,Aliada en procesos de patrimonialización e investigación histórica sobre el período colonial y republicano.,si,si,,,
instituto-italiano-de-cultura,Instituto Italiano de Cultura,IIC,Aliada / colaboradora,,,Aliado cultural en el marco de la relación con el fondo de Turín y las actividades de circulación internacional.,si,si,,,
laboratorio-cartografia-historica-historia-digital,Laboratorio de Cartografía Histórica e Historia Digital,CaHID,Aliada / colaboradora,Bogotá,,Departamento de Historia — Universidad Nacional de Colombia. Eje de desarrollo metodológico del proyecto.,si,si,,,
red-colombiana-de-humanidades-digitales,Red Colombiana de Humanidades Digitales,RCHD,Aliada / colaboradora,,,RedColHD — marco de articulación con la comunidad académica de humanidades digitales del país.,si,si,,,
razon-cartografica,Razón Cartográfica,RC,Aliada / colaboradora,,,Red de Historias de las Geografías y Cartografías de Colombia. Espacio de circulación y publicación académica.,si,si,,,
