id_persona,nombre,tipo_participacion,afiliacion,institucion_nombre,pais,grupo_o_instancia,visible_en_instituciones,photo_url,web_url,notas
nancy-appelbaum,Nancy Appelbaum,Comité científico,,Universidad de Binghamton,EE. UU.,Comité Científico,si,,,
sebastian-diaz-angel,Sebastián Díaz Ángel,Comité científico,,"SGC / IGAC / Biblioteca Nacional",Colombia,Comité Científico,si,,,
lucia-duque-munoz,Lucía Duque Muñoz,Comité científico,,Universidad Nacional de Colombia,Colombia,Comité Científico,si,,,
stefania-gallini,Stefania Gallini,Comité científico,,Universidad de Roma III,Italia,Comité Científico,si,,,
david-ramirez-palacios,David Ramírez Palacios,Comité científico,,SGC / IGAC,Colombia,Comité Científico,si,,,
juanita-rodriguez-congote,Juanita Rodríguez Congote,Comité científico,,Universidad de Binghamton,EE. UU.,Comité Científico,si,,,
efrain-sanchez-cabra,Efraín Sánchez Cabra,Comité científico,,Biblioteca Luis Ángel Arango,Colombia,Comité Científico,si,,,
juan-felipe-uruena-calderon,Juan Felipe Urueña Calderón,Comité científico,,Universidad Pedagógica Nacional,Colombia,Comité Científico,si,,https://juanfuc.vercel.app/,
juan-felipe-uruena-calderon-base-datos,Juan Felipe Urueña Calderón,Equipo de trabajo,UPN,,Colombia,Equipo de base de datos,si,,https://juanfuc.vercel.app/,
david-ramirez-equipo,David Ramírez,Equipo de trabajo,BLAA,,Colombia,Equipo de base de datos,si,,,
santiago-gonzalez,Santiago González,Equipo de trabajo,BNC,,Colombia,Equipo de base de datos,si,,,
juan-felipe-uruena-calderon-desarrollo,Juan Felipe Urueña Calderón,Equipo de trabajo,UPN,,Colombia,Desarrollo web,si,,https://juanfuc.vercel.app/,
sebastian-diaz-angel-equipo,Sebastián Díaz Ángel,Equipo de trabajo,BNC-IGAC-Sogeocol,,Colombia,Coordinación interinstitucional,si,,,
victor-buitrago,Víctor Buitrago,Equipo de trabajo,Sogeocol,,Colombia,Coordinación interinstitucional,si,,,
laura-sanchez,Laura Sánchez,Equipo de trabajo,UN,,Colombia,Coordinación interinstitucional,si,,,
sandra-angulo,Sandra Angulo,Equipo de trabajo,BNC,,Colombia,Coordinación interinstitucional,si,,,
