tipo_vocabulario,valor,descripcion
estado_recurso,Disponible,Estado sugerido para recursos y desarrollos
estado_recurso,Piloto,Estado sugerido para recursos y desarrollos
estado_recurso,En desarrollo,Estado sugerido para recursos y desarrollos
estado_recurso,En preparacion,Estado sugerido para recursos y desarrollos
tipo_actividad,Exposicion,Tipo de actividad presente en site-content.md
tipo_actividad,Seminario / actividad academica,Tipo de actividad presente en site-content.md
tipo_actividad,Reconocimiento / circulacion institucional,Tipo de actividad presente en site-content.md
categoria_institucion,Custodio activo,Categoria institucional presente en site-content.md
categoria_institucion,Aliada / colaboradora,Categoria institucional presente en site-content.md
tipo_participacion,Comite cientifico,Tipo de participacion presente en site-content.md
tipo_participacion,Equipo de trabajo,Tipo de participacion derivado de grupos y ejes de trabajo activos
