page,orden,valor,label
proyecto,1,1850–1859,Período de la expedición original
proyecto,2,10,Instituciones custodias activas
proyecto,3,8,Integrantes del Comité Científico
proyecto,4,24,Meses de duración estimada
infraestructura,1,2,Plataformas activas
infraestructura,2,6,Estándares implementados
infraestructura,3,Omeka S,Plataforma de repositorio
infraestructura,4,IIIF,Protocolo de imágenes
actividades,1,3,Actividades realizadas
actividades,2,1,Exposición virtual
actividades,3,UNESCO,Memoria del Mundo
participantes,1,10,Instituciones custodias
participantes,2,5,Entidades aliadas
participantes,3,8,Comité Científico
participantes,4,4,Países representados
